,Address,Type,Name
80,HD Skin and Hair Clinic  ,Hospitals/Healthcare," Shop No 4, Vinay Heritage, Vinay Nagar, Kashigaon, Mira Road East, Thane, Mira Bhayandar, Maharashtra 401107"
81,The Wellness Hive Holistic Centre ,Hospitals/Healthcare,"C-135, B-1, Sushant Lok 2, Sector 56, Gurugram, Haryana 122011"
82,Saraogi Hospital IRIS IVF Centre ,Hospitals/Healthcare,"Khetan Apartments, SV Road, Opp. MTNL, Opp. MTNL, Mumbai 400064, India"
83,Varun Attri Unisex salon delhi ,Hospitals/Healthcare,"G-188 , Main Road Naraina Vihar Opposite Fire station, Naraina, New Delhi, Delhi 110028"
84,Aga Khan Health Centre ,Hospitals/Healthcare,"5-8-494,Aga Khan Estate,Chirag Ali lane  Abids"
85,DentoDream The Dental clinic ,Hospitals/Healthcare,"15, Padmanabhpur Pulgaon Pass Road, Maharaja Chowk, Adarsh Nagar, Durg, Chhattisgarh 491001, India"
86,Nirvan Hospital ,Hospitals/Healthcare,"Nirvan Bhawan Opposite Hotel Vijay Paradise Near Jagrani Hospital Kalyanpur, Tedhi Pulia Ring Rd, Khurram Nagar, Lucknow, Uttar Pradesh 226022"
87,PHARMA SCIENCE INDIAN AYURVEDA ,Hospitals/Healthcare,"5/11 Amer Complex Zone-II, Maharana Pratap Nagar, Bhopal, Madhya Pradesh 462011"
88,Dr. Anubha Homeopathy ,Hospitals/Healthcare,"H.No: 10-3-505, Vijayanagar Colony, Lane beside Andhra Bank, Masabtank, Hyderabad"
89,Heartvale Healthcare ,Hospitals/Healthcare,"Apeejay Business Center, The Park 22, The Park Hyderabad, Raj Bhavan Rd, Somajiguda, Secunderabad, Telangana 500082"
90,Gorav Gupta ,Hospitals/Healthcare,"2/6, Block 2, Sarvapriya Vihar, New Delhi, Delhi 110016"
91,NutriQuint ,Hospitals/Healthcare,"1ST FLOOR, B103, Shiv Kartik Enclave Block B, Vesu Canal Rd, Bigneswer Medico, Vesu, Surat, Gujarat 395007"
92,Arya Homeopathy Clinic ,Hospitals/Healthcare,"C -467 Mahesh Nagar 60 Feet Road Jaipur , Rajasthan -302015"
93,Plastic Surgeon Plus ,Hospitals/Healthcare,"3rd Floor, Shanti Nursing Home, Uday Shankar Sarani, Near International Market, Ward 10, Mahakal Pally, Siliguri, West Bengal, India 734001"
94,Mumbai Eye Care ,Hospitals/Healthcare,"101/102, Sai Vaibhav CHS, Nr.Vikrant Circle, Ghatkopar (East)"
95,Dr Sk Sinha Cardiologist Max Delhi ,Hospitals/Healthcare,"1 2, Press Enclave Marg, Saket Institutional Area, Saket"
96,TheBoonIVF ,Hospitals/Healthcare,"3rd floor, Lucky plaza, Khajaguda main road, Hyderabad, Telangana 500008"
97,Vedi Herbals Pvt Ltd  ,Hospitals/Healthcare,"Vedi by HempCann Solutions Pvt Ltd. SHOP NO.2, Roha Orion, 16th Rd, near Mini Punjab, Bandra West, Mumbai, Maharashtra 400050"
98,Martika Fertility Centre in Warangal ,Hospitals/Healthcare,"2nd Floor, Paracha Ranga Rao Complex, Pinjerla St, Hanamkonda, Telangana 506001"
99,IDent ,Hospitals/Healthcare,"No:37, Spartan Avenue, Thiruvalluvar Salai, Mogappair, Chennai - 600 037"
100,Make Fit Fitness  ,Hospitals/Healthcare,Ashram Road Ahmedabad 
101,Hams Live ,Hospitals/Healthcare,Siliguri
102,Bajaj Eye Care Centre ,Hospitals/Healthcare,"101, Vikas Surya Plaza, Plot No. 7, DDA Community Centre Road No. 44, Pitampura"
103,Yogshala Clinic ,Hospitals/Healthcare,"First Floor, E-1 Opposite KFC, Kalkaji Main Market delhi"
104,Alakh artificial eye |Best artificial eye | Clinic| Care| prosthetics| Hospital in udaipur ,Hospitals/Healthcare,"D-block, plot no-16-17, near alakh eye clinic, Sector 14, Hiran Magri, Udaipur, Gordhan Vilas Rural"
105,QAWaCh Bio ,Hospitals/Healthcare,"Plot 50, B704, Sujata Empress, Sector 35D, Kharghar, Navi Mumbai- 410210"
106,Swez Dental Clinic ,Hospitals/Healthcare,"Swej Farm. Behind mahima big bazar, near sanskar marriage home, Sodala, Jaipur, Rajasthan 302019"
107,Dr Raghavendra Pradeep ,Hospitals/Healthcare,"Nephron Kidney Centre, 2nd Floor, SV Ranga Rao Complex, Beside Vishwas Hospital, Hanamkonda."
108,Xpressions Dental Hospital ,Hospitals/Healthcare,"11/192 , munusamy nagar main road , MUNUSAMY NAGAR, Medavakkam, Chennai 600100"
109,Dr Seema Bajaj ,Hospitals/Healthcare,"A-1/ 311, Ground floor, Ring Rd, Safdarjung Enclave, New Delhi, Delhi 110029"
110,Dr Rohan Jain Bone Joint Clinic   ,Hospitals/Healthcare,"S-56, Krishna Marg, Siwad Area Nagar, Jaipur-302015"
111,DR aakil khan urologist in thane  ,Hospitals/Healthcare,"Doctors planet, next to royal meridian, opposite Eastern Express Highway, Sambhaji Nagar, Thane West"
112,Vitalis Healthcare ,Hospitals/Healthcare,".4, 5S, First Floor, A.K Asian Grand, Main Rd, Kalaburagi, Karnataka 585102"
113,Janjyoti super specialty eye hospital ,Hospitals/Healthcare,"1051, Gol Bazar, Near Kesharwani Collage Wright Town, Jabalpur, Madhya Pradesh 482002"
114,"dr. munish chauhan nephrologist and kidney transplant doctor in chandigarh, mohali & punjab ",Hospitals/Healthcare,OPD No 17 Ground Floor Max hospital Mohali
115,The Velvet Skin Centre ,Hospitals/Healthcare,"near Ghante Wala Sweets, Thakurganj, Daulatganj"
116,Upwanshi Dental Clinic ,Hospitals/Healthcare,"Upwanshi Dental Clinic, G3, Amarjyoti Complex, Lokmat Square, Dhantoli, Nagpur"
117,Hemodialysis Treatment In Hyderabad ,Hospitals/Healthcare,"Room No 106, A Block, Yashoda Hospital Secunderabad, PIN 500003"
118,Reborn SKin and Hair Clinic ,Hospitals/Healthcare,"2nd Floor ,TULIP TPWER, above TOYNATION, Baner, Pune, Maharashtra 411045"
119,R Fitness Studio ,Hospitals/Healthcare,": Near mehboob resort ,Rara Sahib road, Payal  (Ludhiana)"
120,Dr Vibha Sharma ,Hospitals/Healthcare,"263, Tara Nagar-A, Opposite: Reliance Fresh Smart Point, Near Peprica Momos, Jhotwara,"
121,DR. Raghav Thukral ,Hospitals/Healthcare,"206, East Mohan Nagar, Behind Mata Kaula Hospital, 143001, Amritsar, Punjab"
122,Orthopedic Specialist Indore ,Hospitals/Healthcare,"201, Panama Tower, Gita Bhawan Rd, near Hotel Crown Palace, South Tukoganj, Indore, Madhya Pradesh 452001"
123,Dr A Amin Homeopath  ,Hospitals/Healthcare,Ph 9477-246-755 Fees 2000 Rupees Chamber:X-28 Akra Phatak(LALPOL)
124,Shukla Ambulance Service ,Hospitals/Healthcare,"538/chh/80 Sitapur road Baba ka purwa khadra, Nirala Nagar"
125,FitCulture ,Hospitals/Healthcare,276/3 Khalil Chawl Ambedkar
126,Dental Work Inc ,Hospitals/Healthcare,"Shop No.5, Gyan Prem Building, Malad, Padma Nagar, Evershine Nagar, Malad West, "
127,Ayurveda Pancreatitis Clinic ,Hospitals/Healthcare,"Prakash Villa, NH 74,
Near Rave Cinema, Danpur,
Rudrapur, Udham Singh Nagar,
Uttarakhand"
128,Dr Koyas Hair Transplant Clinic and Wellness Centre Hair Fall Treatment Specialist in Bandra ,Hospitals/Healthcare," Wing 2nd Floor, Rizvi Palace, opposite Hotel Metro Palace, above Hotel Amrut Sagar, Santosh Nagar, Bandra West"
129,Care Oxy Health Care Service ,Hospitals/Healthcare,"N-63, Ground Floor West Patel Nagar New Delhi 110008"
130,Zeeva Clinics ,Hospitals/Healthcare,"Zeeva Clinic, HA 103A, First Floor, SECTOR 104, Noida- 201304"
131,Dr Beri Homeopthy Doctor ,Hospitals/Healthcare,"Shop No. 6A, Near Bus Stand, Opp. P.S. Bank, "
132,CHAWLA NURSING HOME AND MATERNITY HOSPITAL ,Hospitals/Healthcare,"9, Link Road, Lajpat Nagar, Jalandhar, Punjab 144001"
133,Dr Kartik Bhosale cardiologist Clinic ,Hospitals/Healthcare,"Office No 207, Second floor Oriana Crest building, Datta Mandir Rd, Wakad, Pune, Maharashtra 411057"
134,She care clinic ,Hospitals/Healthcare,"Plot No.156, Mahadev Nagar, Behind Akshardham Temple, Vaishali Nagar, Jaipur, Jaipur, Rajasthan 302021"
135,eEpiderma Cosmotology And Laser Clinic ,Hospitals/Healthcare," 1st Floor, C-2/2, Central Park, Doctor’s Colony, City Center, Durgapur, Dist-West Burdwan, WB, India, Pin-713216 (beside Smartbazar & opp to Lifecare Hospital)"
136,QAWaCh Bio Private Limited ,Hospitals/Healthcare,"QAWaCh Bio Private Limited Plot 50, B704, Sujata Empress, Sector 35D, Kharghar, Navi Mumbai- 410210, Maharashtra, India."
137,quintessence business solutions  and services ,Hospitals/Healthcare,"Elnet Software City, Tharamani, Chennai, Tamil Nadu 600113"
138,shree generics medical ,Hospitals/Healthcare,"shopno 2, near dr kalasur, ghansoli gaon"
139,Sudha Fertility Centre Bangalore ,Hospitals/Healthcare,"21 Door no - 1534, Main, 7th Cross Road, 1st Sector, HSR  Layout, Bengaluru, Karnataka"
140,Dentoxpert Dental Clinic ,Hospitals/Healthcare,"129/2, Desai Villa, BESIDES SHIV KRUPA PATHPEDI BANK, opp. Soham Plaza, Manpada, Thane, Maharashtra 400607"
141,Healthifyindia  ,Hospitals/Healthcare,"Shyam vihar phase -B, extn. Deenpur najafgarh, behind chhawla police station"
142,Dr Nanda’s HomeoClinic ,Hospitals/Healthcare,"SCO 172 - 173, Sector 9 - C, Madhya Marg, near Grewal Eye Institute, Chandigarh,"
143,Vision Eye Care Hospital Chandkheda ,Hospitals/Healthcare,"Satyamev Arcade, 319-321, 3rd Floor, Shree Sarju"
144,Nevron ,Hospitals/Healthcare,"Sarian house, Plot no-15 centre, behind changodar city, Changodar, Gujarat "
145,Punarjan Ayurveda Hospital ,Hospitals/Healthcare,"Plot No 20, 21, Nehrus Busiplex Allwyn Cross Road Signals, Miyapur, Hyderabad, Telangana 500049"
146,Impulse neuro and spine care ,Hospitals/Healthcare,"304, 3rd Floor, Underbridge, Dream Square, nr. Nirnay Nagar Road, Akhbar Nagar, Nava Vadaj, Ahmedabad, Gujarat"
147,Dentology Clinic ,Hospitals/Healthcare,"143,Rishabh Vihar, Karkardooma Court Road, Opposite Aditya Mall, Near Cross River Mall , Delhi-110092"
148,RH Clinic ,Hospitals/Healthcare,"Plot 21, Seawoods Hospital, Sector 48, Navi Mumbai, Maharashtra 400706"
149,Tas Derma Pvt Ltd ,Hospitals/Healthcare,"D161A, Second Floor, PCHPL Building, Phase 7, Industrial Area, Balongi, Sahibzada Ajit Singh Nagar"
150,Dr. Priyanka Aggarwal ,Hospitals/Healthcare,"39, Shakespeare Sarani Rd, near Kala Mandir, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017"
151,crossborderscare ,Hospitals/Healthcare,"D2/2A, 18 Feeta Road , AFE OKhla, New Delhi 110025"
152,Dr Anuj Aggarwal MBBS MD Skin and Hair Specialist  ,Hospitals/Healthcare,"Ground Floor, C-3/56A, Block C, Yamuna Vihar, Shahdara, New Delhi, Delhi, 110053"
153,Amrols Medical India Pvt Ltd (AMIPL HEALTHCARE) ,Hospitals/Healthcare,"Office No. 705, Eastern Mall, Dungra Toli Chowk, Ajit Enclave, Lalpur, Ranchi, Jharkhand 834001"
154,Arasu Dental Care ,Hospitals/Healthcare,"129, W Sambandam Rd, R.S. Puram, Coimbatore, Tamil Nadu 641002, India"
155,Influennz Skin Laser and Hair Clinic Acne Treatment Laser Hair Removal HydraFacial Pigmentation Hair PRP in South Delhi ,Hospitals/Healthcare,"Block D, D/10, Hauz Khas Market, Block D, Hauz Khas"
156,HR Diagnostic Pvt Ltd ,Hospitals/Healthcare,"E-46/4,Okhla Industrial Area Phase - 2, New Delhi- 110020, (India)."
157,Vedvakya Ayurvdic clinic ,Hospitals/Healthcare,"Second floor - Shop 213-215, Siddharth Crest complex, opposite H.P Petrol Pump, Natasha Park 2, Nizampura, Vadodara, Gujarat"
158,"Jaipur Rehab - Physiotherapist in Mansarovar, Jaipur ",Hospitals/Healthcare,"Shop No. 4, Patrakar colony Road, Goliyawas, Opposite Anand Mahal Marriage Garden, Jaipur, 302020, Rajasthan"
159,"Dr Shahs Clinic for Male Infertility & Sexual health, Sexologist in Chennai ",Hospitals/Healthcare,"No 21, Sree Kalki Apartments, Ground Floor, Bazullah Road, T-Nagar,"
160,Labix Diagnostics Pathology | ,Hospitals/Healthcare,"Arjun Homes, 409, Swanik Arcade, Pragatinagar Road, Behind Vardan Tower Besides, Naranpura, Ahmedabad, Gujarat"
161,Amplec Healthcare Pvt. Ltd. ,Hospitals/Healthcare,"148, NEHRU MARKET, DAKPATHAR, DEHRADUN (UK) - 248125"
162,RK hospital and Physiotheraphy center ,Hospitals/Healthcare,17-6-405 Kumatwadi opp Avinash Tiffins Center Dabeerpura Road
163,Suvarna ,Hospitals/Healthcare,"6-3-191/C/1, Tower B, 4th Floor, Fortune 9, Raj Bhavan Road, Somajiguda, Hyderabad, Telangana, India-500082."
164,Manya Aesthetic ,Hospitals/Healthcare,"G F, No 8/2/293/82/A/1218 P N 1218 Co Op House bldg Society, Rd Number 36, Jubilee Hills, Hyderabad, Telangana 500033"
165,drvenkateshtkcardiologist ,Hospitals/Healthcare,"# 75, Surveyor StreetBasavanagudi"
166,Medfemme womens clinic  ,Hospitals/Healthcare,"Z-33, Hauz Khas Rd, NIFT road, New Delhi, Delhi 110016"
167,Best Gastroenterologist in Hyderabad ( dr vijay kumar c bada ) ,Hospitals/Healthcare,"Hyderabad, Telangana, 500084"
168,Zen-Mind Psychiatry Clinic Bopal ,Hospitals/Healthcare,"Aarohi Galleria, C/206, Aaryan Gloria, South Bopal, Bopal, Ahmedabad,"
169,Punarjan Ayurveda Hospitals ,Hospitals/Healthcare,"Plot No 20, 21, Nehrus Busiplex Allwyn Cross Road Signals, Miyapur, Hyderabad, Telangana 500049"
170,Mystidoc Healthcare Pvt Ltd ,Hospitals/Healthcare," 253, Shri Krishna Avenue, Phase-1, Limbodi Khandwa Road, Indore"
171,Salon De Beleza ,Hospitals/Healthcare,"C-51, Block C, Rajouri Garden"
172,House of Dontics ,Hospitals/Healthcare,"FF - 29, Rivera Arcade, Cross Road, above Magsons, opp. AMC Ground, Prahlad Nagar"
173,Hair Clinique ,Hospitals/Healthcare,"TG EssGee, Second floor, 697, 11th Main Rd, opposite to Sri Raghavendra Swamy Mutt, ishya Bank Colony, 5th Block, Jayanagar, Bengaluru, Karnataka 560041"
174,Dr. Supriya Aggarwal - Experienced ENT Specialist in rewa ,Hospitals/Healthcare,"12/199, University Road Rewa 486001"
175,Dental Hub ,Hospitals/Healthcare,"Shantihari Awasan, Inner Circle Road, Bistupur, Jamshedpur, Jharkhand 831001"
176,Dr Ganesh Navaneethan ,Hospitals/Healthcare,"TC 9/1485(1) (New TC 22/1882), Redhappurakunnu Road, Sasthamangalam, Trivandrum-10"
177,BHAGYODAY MINDCARE HOSPITAL ,Hospitals/Healthcare,"BOPAL: 3008, B-Wing, 3rd Floor, Above Pantaloons, TRP MALL,BOPAL. Ahmedabad-380058"
178,Blue Sea Thai Spa ,Hospitals/Healthcare,"Shop No. 311-312, 3rd Floor,  Maruti Titanium, Sardar Patel Ring Rd, nr. Marutinandan Thal Restaurant, below B&B Express Hotel, Nikol, Ahmedabad, Gujarat 382350"
179,Dr Kirthi ,Hospitals/Healthcare,"1st Floor, Above Medquest Diagnostics Center, opposite SBI, Ramakrishna Nagar, Hafeezpet, Madeenaguda"
180,Latchelp ,Hospitals/Healthcare,"2nd floor, 14th main road, 4th Cross Rd, Jakkasandra, HSR Layout 5th Sector,"
181,Re-Incarnation Skin & Hair Care Clinic ,Hospitals/Healthcare,"PLOT II D, QUBE MALL, 614, 6th floor, 31/1, Rajarhat Main Rd, Action Area IID, Newtown, Kolkata,"
